id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric;energetic,0.02,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020s,nostalgic;focused,0.65,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,70,2010s,aggressive;triumphant,0.05,0.35
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2020s,nostalgic;calm,0.70,0.05
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020s,aggressive;euphoric,0.01,0.20
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,30,2010s,dreamy;calm,0.88,0.10
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,40,2000s,nostalgic;warm,0.55,0.45
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,60,2010s,moody;nostalgic,0.30,0.15
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,45,2020s,focused;calm,0.72,0.06
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,65,2020s,euphoric;warm,0.10,0.18
11,Concrete Kingdom,MC Ledger,hip-hop,confident,0.71,94,0.62,0.85,0.15,74,2020s,confident;gritty,0.02,0.25
12,Moonlit Sonata Redux,Aria Winters,classical,calm,0.22,64,0.55,0.28,0.95,25,1990s,calm;nostalgic,0.97,0.30
13,Iron Maw,Deadweight Chorus,metal,aggressive,0.97,168,0.32,0.55,0.04,55,2010s,aggressive;dark,0.03,0.55
14,Dust Road Home,The Hollow Pines,folk,nostalgic,0.33,86,0.58,0.42,0.80,35,1990s,nostalgic;warm,0.40,0.20
15,Slow Burn,Velvet & Rye,r&b,romantic,0.45,68,0.63,0.61,0.55,58,2000s,romantic;warm,0.10,0.15
16,Island Drift,Sunset Skank,reggae,laidback,0.50,76,0.70,0.68,0.48,42,2000s,laidback;warm,0.08,0.30
17,Backroad Anthem,Dusty Larkin,country,uplifting,0.63,108,0.74,0.66,0.40,50,2010s,uplifting;nostalgic,0.05,0.28
18,Neon Pulse Overdrive,Voltage Sisters,edm,euphoric,0.95,128,0.88,0.90,0.03,80,2020s,euphoric;energetic,0.01,0.08
